847  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'vcap.application.name' in [applicationConfigurationProperties]
847  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Could not find key 'vcap.application.name' in any property source. Returning [null]
847  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name:application' in [servletConfigInitParams]
848  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name:application' in [servletContextInitParams]
848  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name:application' in [systemProperties]
848  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name:application' in [systemEnvironment]
848  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name:application' in [random]
848  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name:application' in [applicationConfigurationProperties]
848  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Could not find key 'spring.application.name:application' in any property source. Returning [null]
848  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name' in [servletConfigInitParams]
848  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name' in [servletContextInitParams]
849  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name' in [systemProperties]
849  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name' in [systemEnvironment]
849  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name' in [random]
849  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.name' in [applicationConfigurationProperties]
849  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Could not find key 'spring.application.name' in any property source. Returning [null]
849  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT:null' in [servletConfigInitParams]
